% 1. Title: Mushroom Database
%
% 2. Sources:
%	(a) Mushroom records drawn from The Audubon Society Field Guide to North
%	American Mushrooms (1981). G. H. Lincoff (Pres.), New York: Alfred
%	A. Knopf
%	(b) Donor: Jeff Schlimmer (Jeffrey.Schlimmer@a.gp.cs.cmu.edu)
%	(c) Date: 27 April 1987


@relation mushroom.database

@attribute class {edible, poisonous}
@attribute cap-shape {bell, conical, convex, flat, knobbed, sunken}
@attribute cap-surface {fibrous, grooves, scaly, smooth}
@attribute cap-color {brown, buff, cinnamon, gray, green, pink, purple, red, white, yellow}
@attribute presence_of_bruises {bruises, no}
@attribute odor {almond, anise, creosote, fishy, foul, musty, none, pungent, spicy}
@attribute gill-spacing {close, crowded}
@attribute gill-size {broad, narrow}
@attribute gill-color {black, brown, buff, chocolate, gray, green, orange, pink, purple, red, white, yellow}
@attribute stalk-shape {enlarging, tapering}
@attribute stalk-root {bulbous, club, equal, rooted}
@attribute stalk-surface-above-ring {fibrous, scaly, silky, smooth}
@attribute stalk-surface-below-ring {fibrous, scaly, silky, smooth}
@attribute stalk-color-above-ring {brown, buff, cinnamon, gray, orange, pink, red, white, yellow}
@attribute stalk-color-below-ring {brown, buff, cinnamon, gray, orange, pink, red, white, yellow}
@attribute ring-number {none, one, two}
@attribute ring-type {evanescent, flaring, large, none, pendant}
@attribute spore-print-color {black, brown, buff, chocolate, green, orange, purple, white, yellow}
@attribute population {abundant, clustered, numerous, scattered, several, solitary}
@attribute habitat {grasses, leaves, meadows, paths, urban, waste, woods}

@data

edible,convex,fibrous,white,no,none,crowded,broad,black,tapering,equal,fibrous,smooth,white,white,one,evanescent,black,abundant,grasses
edible,bell,scaly,white,bruises,almond,close,broad,white,enlarging,club,smooth,smooth,white,white,one,pendant,black,scattered,grasses
edible,convex,smooth,yellow,bruises,anise,crowded,narrow,white,tapering,bulbous,smooth,smooth,white,white,one,pendant,brown,several,woods
edible,bell,scaly,white,bruises,almond,close,broad,brown,enlarging,club,smooth,smooth,white,white,one,pendant,black,scattered,grasses
poisonous,convex,smooth,brown,bruises,pungent,close,narrow,black,enlarging,equal,smooth,smooth,white,white,one,pendant,black,scattered,urban
edible,convex,smooth,yellow,bruises,almond,close,broad,black,enlarging,club,smooth,smooth,white,white,one,pendant,brown,numerous,grasses
edible,bell,smooth,white,bruises,anise,close,broad,brown,enlarging,club,smooth,smooth,white,white,one,pendant,brown,numerous,meadows
poisonous,convex,scaly,white,bruises,pungent,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,one,pendant,black,scattered,urban
edible,convex,smooth,gray,no,none,crowded,broad,black,tapering,equal,smooth,smooth,white,white,one,evanescent,brown,abundant,grasses
edible,convex,scaly,yellow,bruises,almond,close,broad,brown,enlarging,club,smooth,smooth,white,white,one,pendant,black,numerous,grasses
edible,bell,smooth,white,bruises,almond,close,broad,gray,enlarging,club,smooth,smooth,white,white,one,pendant,black,numerous,meadows
edible,bell,scaly,white,bruises,anise,close,broad,brown,enlarging,club,smooth,smooth,white,white,one,pendant,brown,scattered,meadows
